epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6087,1.2123,1.13293,1.3326,0.78346,0.6848,0.78137,0.50387,1.30848,1.31131,1.37164,0.00038,0.00038,0.00038
2,21.05,1.23185,1.10737,1.32223,0.61067,0.69085,0.66412,0.39024,1.48594,1.38579,1.48575,0.000772278,0.000772278,0.000772278
3,29.6603,1.26304,1.14747,1.34209,0.65305,0.57002,0.59055,0.31748,1.687,1.55254,1.6188,0.00115664,0.00115664,0.00115664
4,40.171,1.31165,1.18951,1.36957,0.49031,0.5614,0.49837,0.2422,1.75064,2.01671,1.68278,0.00153307,0.00153307,0.00153307
5,50.3141,1.34865,1.27976,1.40635,0.57202,0.58675,0.56519,0.2843,1.81087,1.56478,1.73616,0.00190159,0.00190159,0.00190159
6,61.0536,1.34318,1.22597,1.39713,0.70783,0.63433,0.70862,0.40663,1.53851,1.283,1.50942,0.001901,0.001901,0.001901
7,69.1252,1.32328,1.21077,1.36488,0.5718,0.63407,0.61167,0.3509,1.56155,1.44733,1.55557,0.0018812,0.0018812,0.0018812
8,79.5388,1.39716,1.29597,1.42507,0.66065,0.59937,0.65826,0.36587,1.504,1.26571,1.52329,0.0018614,0.0018614,0.0018614
9,91.0596,1.35349,1.2466,1.39248,0.54602,0.54259,0.53031,0.26521,1.70958,1.92649,1.68897,0.0018416,0.0018416,0.0018416
10,101.01,1.33865,1.23263,1.4144,0.61357,0.61108,0.61962,0.35317,1.53225,1.48155,1.58728,0.0018218,0.0018218,0.0018218
11,110.007,1.36644,1.22078,1.39567,0.63992,0.53943,0.60468,0.32754,1.58883,1.46085,1.55519,0.001802,0.001802,0.001802
12,120.228,1.3707,1.21381,1.40293,0.56223,0.63722,0.62924,0.3366,1.59915,1.46509,1.56844,0.0017822,0.0017822,0.0017822
13,131.443,1.32792,1.21107,1.3903,0.64586,0.65586,0.67217,0.38742,1.50151,1.36356,1.52089,0.0017624,0.0017624,0.0017624
14,139.038,1.26533,1.14491,1.35246,0.61775,0.65615,0.6478,0.37614,1.52472,1.61277,1.57747,0.0017426,0.0017426,0.0017426
15,150.405,1.31697,1.16573,1.36557,0.55936,0.56467,0.57708,0.32213,1.53004,1.70291,1.52401,0.0017228,0.0017228,0.0017228
16,160.263,1.2869,1.11692,1.36733,0.69036,0.59621,0.66105,0.3833,1.43783,1.30818,1.49819,0.001703,0.001703,0.001703
17,169.122,1.3262,1.16105,1.37474,0.60655,0.64193,0.62796,0.35592,1.48858,1.3468,1.50444,0.0016832,0.0016832,0.0016832
18,178.36,1.27609,1.13239,1.3557,0.61683,0.63722,0.6061,0.34715,1.50252,1.45201,1.49435,0.0016634,0.0016634,0.0016634
19,189.575,1.27152,1.11901,1.3537,0.72012,0.64353,0.72642,0.43799,1.41856,1.18357,1.44065,0.0016436,0.0016436,0.0016436
20,198.782,1.31557,1.12741,1.3652,0.70059,0.71924,0.74496,0.4603,1.37817,1.12653,1.41198,0.0016238,0.0016238,0.0016238
21,208.258,1.23889,1.05112,1.33126,0.70377,0.69085,0.73308,0.44945,1.41151,1.18498,1.42545,0.001604,0.001604,0.001604
22,219.294,1.24778,1.04864,1.31993,0.81448,0.6183,0.72544,0.44516,1.39916,1.23904,1.47276,0.0015842,0.0015842,0.0015842
23,229.289,1.24033,1.06718,1.32655,0.73746,0.77978,0.79333,0.48708,1.33745,1.08935,1.3978,0.0015644,0.0015644,0.0015644
24,238.042,1.23229,1.05265,1.31857,0.74153,0.73502,0.7592,0.44204,1.39548,1.15339,1.45774,0.0015446,0.0015446,0.0015446
25,248.628,1.21121,1.0475,1.31409,0.73248,0.73419,0.78026,0.50375,1.3258,1.09959,1.38287,0.0015248,0.0015248,0.0015248
26,259.035,1.21235,1.05031,1.32743,0.72871,0.74567,0.74341,0.45711,1.37029,1.15538,1.39687,0.001505,0.001505,0.001505
27,266.915,1.1834,1.01509,1.27066,0.75355,0.78129,0.80219,0.50108,1.31228,1.12501,1.36087,0.0014852,0.0014852,0.0014852
28,277.887,1.17815,0.98456,1.28168,0.79902,0.74448,0.80473,0.50147,1.34439,1.05283,1.39419,0.0014654,0.0014654,0.0014654
29,288.523,1.19139,0.99195,1.29936,0.76703,0.7571,0.79715,0.50305,1.31138,1.05885,1.37766,0.0014456,0.0014456,0.0014456
30,298.281,1.16576,0.99629,1.28212,0.75511,0.77816,0.80967,0.50701,1.29587,0.99089,1.36191,0.0014258,0.0014258,0.0014258
31,306.339,1.1456,0.96072,1.27329,0.77266,0.7398,0.79372,0.52269,1.29363,1.03717,1.3415,0.001406,0.001406,0.001406
32,318.255,1.15534,0.96644,1.26885,0.74568,0.7224,0.76152,0.49419,1.31162,1.10796,1.36698,0.0013862,0.0013862,0.0013862
33,328.546,1.16454,0.96002,1.26533,0.83617,0.73817,0.82398,0.56557,1.20185,0.94322,1.27991,0.0013664,0.0013664,0.0013664
34,339.822,1.12381,0.94919,1.2502,0.74602,0.74132,0.80439,0.52513,1.22758,1.00883,1.28098,0.0013466,0.0013466,0.0013466
